system_id,context,state_mse,control_mae
1013,1,66.85497283935547,6.928967475891113
1013,10,0.726383626461029,4.420962810516357
1013,20,0.7106247544288635,4.155676364898682
1013,30,0.7285591959953308,4.22212553024292
1013,40,0.7321681976318359,4.243862152099609
1013,50,0.7404661774635315,4.304697036743164
2827,1,7.713375091552734,7.090428352355957
2827,10,0.32806098461151123,4.204880237579346
2827,20,0.33542388677597046,4.16214656829834
2827,30,0.33899015188217163,4.214422225952148
2827,40,0.3422318696975708,4.281179428100586
2827,50,0.34504449367523193,4.345330715179443
2369,1,5.392131328582764,6.144951343536377
2369,10,1.287757158279419,4.5498046875
2369,20,1.379299283027649,4.575827598571777
2369,30,1.2636528015136719,4.385785102844238
2369,40,0.9343320727348328,4.1988348960876465
2369,50,0.940514326095581,4.258176326751709
846,1,6.9128828048706055,8.171671867370605
846,10,3.7275936603546143,6.262546539306641
846,20,0.624118983745575,4.402754306793213
846,30,0.6417587995529175,4.44020938873291
846,40,0.6538830995559692,4.5005621910095215
846,50,0.6658076643943787,4.572118282318115
1699,1,32.600318908691406,7.209720134735107
1699,10,0.9481605291366577,6.727046966552734
1699,20,0.5150303244590759,5.804930210113525
1699,30,0.42131444811820984,4.8265180587768555
1699,40,0.43222832679748535,4.649053573608398
1699,50,0.4451512396335602,4.79890775680542
2418,1,33.889671325683594,5.587777614593506
2418,10,0.5890766382217407,4.462314605712891
2418,20,0.5489556789398193,4.2494282722473145
2418,30,0.5387881398200989,3.8225865364074707
2418,40,0.5630645155906677,3.8490161895751953
2418,50,0.5763770937919617,3.977966070175171
10,1,11.211447715759277,7.431364059448242
10,10,0.7577510476112366,5.777710914611816
10,20,0.9354895949363708,5.676448345184326
10,30,0.9779379963874817,5.76129150390625
10,40,0.9939357042312622,5.841563701629639
10,50,1.0087759494781494,5.939705848693848
2027,1,1.955687165260315,5.9127583503723145
2027,10,1.9515807628631592,5.728257656097412
2027,20,1.6169064044952393,5.053186416625977
2027,30,1.5706547498703003,4.443182468414307
2027,40,1.4980968236923218,4.371106147766113
2027,50,1.6334147453308105,4.00144624710083
147,1,10.242977142333984,6.283254623413086
147,10,10.544354438781738,5.910103797912598
147,20,1.0274150371551514,4.621247291564941
147,30,0.8960028886795044,4.554086208343506
147,40,0.9530007243156433,4.558868885040283
147,50,1.019871473312378,4.577023983001709
146,1,33.277183532714844,6.793123722076416
146,10,0.5676210522651672,4.076608657836914
146,20,0.5703979134559631,4.167512893676758
146,30,0.5840427875518799,4.184628963470459
146,40,0.6222862601280212,4.233754634857178
146,50,0.6650658845901489,4.34019660949707
