step,context,stability_rate,stable_count,total_count
200000,30,0.2,2,10
200000,40,0.3,3,10
200000,50,0.3,3,10
205000,1,0.3,3,10
205000,10,0.2,2,10
205000,20,0.3,3,10
205000,30,0.3,3,10
205000,40,0.2,2,10
205000,50,0.3,3,10
210000,1,0.3,3,10
210000,10,0.3,3,10
210000,20,0.5,5,10
210000,30,0.2,2,10
210000,40,0.4,4,10
210000,50,0.2,2,10
215000,1,0.2,2,10
215000,10,0.3,3,10
215000,20,0.1,1,10
215000,30,0.1,1,10
215000,40,0.3,3,10
215000,50,0.3,3,10
220000,1,0.1,1,10
220000,10,0.1,1,10
220000,20,0.2,2,10
220000,30,0.5,5,10
220000,40,0.2,2,10
220000,50,0.2,2,10
225000,1,0.5,5,10
225000,10,0.2,2,10
225000,20,0.5,5,10
225000,30,0.4,4,10
225000,40,0.3,3,10
225000,50,0.2,2,10
230000,1,0.1,1,10
230000,10,0.2,2,10
230000,20,0.4,4,10
230000,30,0.3,3,10
230000,40,0.6,6,10
230000,50,0.3,3,10
235000,1,0.5,5,10
235000,10,0.4,4,10
235000,20,0.1,1,10
235000,30,0.3,3,10
235000,40,0.4,4,10
235000,50,0.5,5,10
240000,1,0.4,4,10
240000,10,0.4,4,10
240000,20,0.5,5,10
240000,30,0.4,4,10
240000,40,0.4,4,10
240000,50,0.7,7,10
245000,1,0.4,4,10
245000,10,0.3,3,10
245000,20,0.7,7,10
245000,30,0.7,7,10
245000,40,0.5,5,10
245000,50,0.5,5,10
250000,1,0.1,1,10
250000,10,0.1,1,10
250000,20,0.2,2,10
250000,30,0.5,5,10
250000,40,0.4,4,10
250000,50,0.5,5,10
255000,1,0.2,2,10
255000,10,0.0,0,10
255000,20,0.0,0,10
255000,30,0.1,1,10
255000,40,0.5,5,10
255000,50,0.3,3,10
260000,1,0.4,4,10
260000,10,0.5,5,10
260000,20,0.8,8,10
260000,30,0.6,6,10
260000,40,0.5,5,10
260000,50,0.4,4,10
265000,1,0.5,5,10
265000,10,0.3,3,10
265000,20,0.3,3,10
265000,30,0.4,4,10
265000,40,0.5,5,10
265000,50,0.5,5,10
270000,1,0.3,3,10
270000,10,0.5,5,10
270000,20,0.5,5,10
270000,30,0.6,6,10
270000,40,0.3,3,10
270000,50,0.4,4,10
275000,1,0.5,5,10
275000,10,0.6,6,10
275000,20,0.4,4,10
275000,30,0.2,2,10
275000,40,0.6,6,10
275000,50,0.2,2,10
280000,1,0.2,2,10
280000,10,0.2,2,10
280000,20,0.3,3,10
280000,30,0.2,2,10
280000,40,0.6,6,10
280000,50,0.2,2,10
284408,1,0.3,3,10
284408,10,0.3,3,10
284408,20,0.4,4,10
284408,30,0.3,3,10
284408,40,0.2,2,10
284408,50,0.2,2,10
