system_id,context,state_mse,control_mae
1013,1,31.48094367980957,7.9601569175720215
1013,10,79.0492172241211,12.678265571594238
1013,20,0.5477421879768372,4.458255290985107
1013,30,0.5788642764091492,4.289844036102295
1013,40,0.6158329844474792,4.359673976898193
1013,50,0.6723745465278625,4.482292652130127
2827,1,10.417976379394531,7.609047889709473
2827,10,0.18945235013961792,4.050577163696289
2827,20,0.18636037409305573,4.203917026519775
2827,30,0.22145046293735504,4.2049241065979
2827,40,0.2313508242368698,4.236363410949707
2827,50,0.2678919732570648,4.29728364944458
2369,1,2939.7431640625,14.106485366821289
2369,10,9.0149507522583,5.307095050811768
2369,20,9.255074501037598,5.200729846954346
2369,30,32.58772659301758,5.736534118652344
2369,40,1.9276021718978882,4.31402587890625
2369,50,1.9527498483657837,4.365968227386475
846,1,24.693326950073242,11.741937637329102
846,10,1146.4483642578125,16.39148712158203
846,20,1.186053991317749,4.5122175216674805
846,30,17.41217613220215,17.428586959838867
846,40,1.3334763050079346,4.580766677856445
846,50,1.3791296482086182,4.654893398284912
1699,1,65.21411895751953,6.671621799468994
1699,10,1.7160544395446777,6.150950908660889
1699,20,1.5570420026779175,6.477155685424805
1699,30,0.5899094939231873,5.290390968322754
1699,40,0.6691636443138123,5.401186466217041
1699,50,0.6777851581573486,5.491338729858398
2418,1,2.0616512298583984,5.896535873413086
2418,10,1.4631962776184082,5.6986403465271
2418,20,0.6837621331214905,4.111055374145508
2418,30,0.5360842347145081,3.8102216720581055
2418,40,0.4526124894618988,3.691830635070801
2418,50,0.542914867401123,3.9948089122772217
10,1,62.810264587402344,16.536657333374023
10,10,0.6439591646194458,5.716981887817383
10,20,0.7128457427024841,5.7214179039001465
10,30,0.5914412140846252,5.754703521728516
10,40,0.6154831647872925,5.83824348449707
10,50,0.6152412295341492,5.9383649826049805
2027,1,2.01020884513855,6.140928745269775
2027,10,2.3219380378723145,6.040867805480957
2027,20,1.8032174110412598,5.685614109039307
2027,30,3.320146322250366,5.3774733543396
2027,40,3.977468729019165,5.496848106384277
2027,50,3.9551501274108887,5.680575370788574
147,1,9.761651992797852,6.159934997558594
147,10,10.940569877624512,6.1383161544799805
147,20,10.230029106140137,6.7626118659973145
147,30,2.8054332733154297,4.691473007202148
147,40,1.6269711256027222,4.527823448181152
147,50,1.648054838180542,4.551330089569092
146,1,1.0884653329849243,7.27891206741333
146,10,0.724241316318512,4.910186290740967
146,20,0.6550132632255554,4.388372898101807
146,30,0.6684766411781311,4.448701858520508
146,40,0.7160611748695374,4.637624740600586
146,50,0.7168177366256714,4.868741512298584
