system_id,context,state_mse,control_mae
1013,1,148.64517211914062,10.950239181518555
1013,10,70.62444305419922,8.814135551452637
1013,20,72.16104125976562,9.05724048614502
1013,30,71.3880386352539,10.47280502319336
1013,40,33.08121109008789,4.815851211547852
1013,50,0.7089565396308899,4.359705924987793
2827,1,8.605118751525879,6.867494583129883
2827,10,8.556493759155273,5.490930080413818
2827,20,10.353779792785645,10.679947853088379
2827,30,0.8629620671272278,5.134305953979492
2827,40,0.9028536081314087,5.256941318511963
2827,50,9.075636863708496,10.880802154541016
2369,1,0.8225188851356506,4.783392906188965
2369,10,8.389872550964355,5.466215133666992
2369,20,0.7528608441352844,4.6406683921813965
2369,30,1.1742926836013794,4.31086540222168
2369,40,0.9459329843521118,4.208820819854736
2369,50,0.9535588622093201,4.267061710357666
846,1,11.520098686218262,6.667229175567627
846,10,12.680976867675781,10.724011421203613
846,20,0.5774927139282227,4.424644470214844
846,30,0.5981509685516357,4.462934970855713
846,40,0.6101783514022827,4.521855354309082
846,50,0.6233711242675781,4.589574337005615
1699,1,58.284114837646484,7.847795486450195
1699,10,5.502034664154053,5.483821392059326
1699,20,5.712711334228516,6.853754043579102
1699,30,5.689364910125732,5.565686225891113
1699,40,5.794978618621826,5.414456367492676
1699,50,5.908053398132324,5.533777236938477
2418,1,23.824880599975586,5.903677463531494
2418,10,10.076876640319824,5.026764392852783
2418,20,10.092856407165527,4.977354526519775
2418,30,7.673340320587158,4.078701972961426
2418,40,7.827639579772949,4.104555606842041
2418,50,8.003150939941406,4.11497163772583
10,1,12.737783432006836,6.930450439453125
10,10,0.6654338836669922,5.804688930511475
10,20,0.9521554112434387,5.671453952789307
10,30,0.9774543046951294,5.750641822814941
10,40,0.9984303116798401,5.836397171020508
10,50,1.0212658643722534,5.93784761428833
2027,1,9.167976379394531,4.952320575714111
2027,10,9.275609016418457,5.084655284881592
2027,20,9.382497787475586,4.977939605712891
2027,30,9.433636665344238,5.15244722366333
2027,40,1.3817964792251587,4.91264533996582
2027,50,9.846847534179688,5.339700222015381
147,1,9.562200546264648,5.680675983428955
147,10,0.7274239659309387,4.877926826477051
147,20,8.848946571350098,6.729742050170898
147,30,9.36082935333252,7.054687976837158
147,40,0.6679608821868896,4.543013095855713
147,50,0.7153772115707397,4.5729899406433105
146,1,1.4133687019348145,7.282702445983887
146,10,6.751745223999023,5.608962059020996
146,20,6.862176418304443,5.665989875793457
146,30,7.044826030731201,5.775429725646973
146,40,7.195380687713623,5.894561767578125
146,50,7.317229270935059,5.973589897155762
